sentence,manual annotation,predicted annotation
එය ඔබගේ සහාය දිනා ගනු ඇතැයි මම විශ්වාස කරමි .,"[ එය ARG1 , ඔබගේ ARG1 , සහාය ARG1 , දිනා ARG1 , ගනු ARG1 , ඇතැයි ARG1 , මම ARG0 , විශ්වාස believe.01 , කරමි believe.01 , . O ]","[ එය ARG1 , ඔබගේ ARG1 , සහාය support.01 , දිනා O , ගනු O , ඇතැයි O , මම O , විශ්වාස O , කරමි O , . O ], [ එය ARG1 , ඔබගේ ARG1 , සහාය ARG1 , දිනා ARG1 , ගනු ARG1 , ඇතැයි ARG1 , මම ARG0 , විශ්වාස believe.01 , කරමි believe.01 , . O ]"
"ඒ සියල්ල වැදගත් , කොමසාරිස් .","[ ඒ ARG1 , සියල්ල ARG1 , වැදගත් ARG2 , , O , කොමසාරිස් ARGM-DIS , . O]",[ ]
මෙය සාක්ෂාත් කර ගැනීමේ හැකියාව අපට ඇත .,"[ මෙය ARG1 , සාක්ෂාත් ARG1 , කර ARG1 , ගැනීමේ ARG1 , හැකියාව ARG1 , අපට ARG0 , ඇත have.03 , . O ]","[ මෙය ARG1 , සාක්ෂාත් O , කර O , ගැනීමේ O , හැකියාව ARG0 , අපට ARG0 , ඇත have.03 , . O ]"
නේටෝව යනු අනාරක්ෂිත භාවයයි !,"[ නේටෝව ARG0 , යනු stand.01 , අනාරක්ෂිත ARG1 , භාවයයි ARG1 , ! O ]","[ නේටෝව ARG1 , යනු be.01 , අනාරක්ෂිත O , භාවයයි O , ! O , . O ]"
මේවා එකිනෙකට වෙනස් ය .,"[ මේවා ARG1 , එකිනෙකට O , වෙනස් ARG2 , ය be.01 , . O ]","[ මේවා ARG1 , එකිනෙකට O , වෙනස් O , ය be.01 , . O ]"
ඔහු කාර්මික ලොබි ගැන කතා කර ඇත .,"[ ඔහු ARG0 , කාර්මික ARG1 , ලොබි ARG1 , ගැන ARG1 , කතා talk.01 , කර talk.01 , ඇත O , . O ]","[ ඔහු ARG1 , කාර්මික ARG1 , ලොබි ARG1 , ගැන ARG1 , කතා talk.01 , කර talk.01 , ඇත O , . O ], [ ඔහු ARG0 , කාර්මික O , ලොබි O , ගැන O , කතා O , කර O , ඇත have.01 , . O ]"
පළමුවැන්න මානුෂීය මට්ටමයි .,"[ පළමුවැන්න ARG1 , මානුෂීය ARG2 , මට්ටමයි ARG2 , . O]",[ ]
"ජනාධිපතිතුමනි , මාට්සාකිස් මහතා හරි .","[ ජනාධිපතිතුමනි ARGM-DIS , , O , මාට්සාකිස් ARG1 , මහතා ARGM-DIS , හරි ARG2 , . O ]",[ ]
"එසේ වුවද , අමතර උත්සාහයන් අවශ්‍ය වේ .","[ එසේ ARGM-DIS , වුවද ARGM-DIS , , O , අමතර ARG1 , උත්සාහයන් ARG1 , අවශ්‍ය need.01 , වේ need.01 , . O ]","[ එසේ O , වුවද O , , O , අමතර O , උත්සාහයන් ARG1 , අවශ්\u200dය require.01 , වේ require.01 , . O ]"
මෙම ගැටලුවට ජාතික විසඳුමක් නොමැත .,"[ මෙම ARG1 , ගැටලුවට ARG1 , ජාතික ARG1 , විසඳුමක් ARG1 , නොමැත ARG1 , . O]",[ ]
සෑම අවස්ථාවකදීම ප්‍රතිඑල සතුටුදායක විය .,"[ සෑම ARGM-ADV , අවස්ථාවකදීම ARGM-ADV , ප්‍රතිඑල ARG1 , සතුටුදායක ARG2 , විය be.01 , . O ]","[ සෑම ARG0 , අවස්ථාවකදීම ARG2 , ප්\u200dරතිඑල ARG2 , සතුටුදායක ARG2 , විය be.01 , . O ]"
මෙම වාර්තාවේ බොහොමයක් දේ ඇත . ,"[ මෙම ARG1 , වාර්තාවේ ARG1 , බොහොමයක් ARG1 , දේ ARG1 , ඇත be.02 , . O ]","[ මෙම ARG1 , වාර්තාවේ O , බොහොමයක් O , දේ O , ඇත have.01 , . O ]"
මෙය දේශපාලනික නො වේ .,"[ මෙය ARG1 , දේශපාලනික ARG2 , නො ARGM-NEG , වේ be.01 , . O ]","[ මෙය ARG1 , දේශපාලනික ARG2 , නො ARGM-NEG , වේ be.01 , . O ]"
"කෙසේ වෙතත් , අපට එවැනි විනිවිදභාවයක් නොමැත .","[ කෙසේ ARGM-DIS , වෙතත් ARGM-DIS , , O , අපට ARG0 , එවැනි ARG1 , විනිවිදභාවයක් ARG1 , නොමැත lack.01 , . O ]",[ ]
අර්බුදය එම පණිවිඩය වඩාත් අදාළ කරයි .,"[ අර්බුදය ARG0 , එම ARG1 , පණිවිඩය ARG1 , වඩාත් ARG1 , අදාළ ARG1 , කරයි make.02 , . O ]","[ අර්බුදය ARG0 , එම ARG1 , පණිවිඩය ARG1 , වඩාත් ARG1 , අදාළ apply.02 , කරයි O , . O ]"
මෙම ප්‍රශ්නය අප අපෙන්ම අසා ගත යුතුය .,"[ මෙම ARG1 , ප්‍රශ්නය ARG1 , අප ARG0 , අපෙන්ම ARG2 , අසා ask.01 , ගත O , යුතුය ARGM-MOD , . O ]","[ මෙම ARG1 , ප්\u200dරශ්නය ARG1 , අප O , අපෙන්ම ask.01 , අසා O , ගත O , යුතුය ARGM-MOD , . O ], [ මෙම ARG1 , ප්\u200dරශ්නය ARG1 , අප ARG0 , අපෙන්ම O , අසා hear.01 , ගත O , යුතුය O , . O ]"
අපි වියදම් ගැන කතා කරමු .,"[ අපි ARG0 , වියදම් ARG1 , ගැන ARG1 , කතා talk.01 , කරමු talk.01 , . O ]","[ අපි ARG0 , වියදම් ARG1 , ගැන ARG1 , කතා talk.01 , කරමු talk.01 , . O ]"
අපි ආදර්ශයෙන් මෙහෙයවිය යුතුයි .,"[ අපි ARG0 , ආදර්ශයෙන් ARGM-MNR , මෙහෙයවිය lead.01 , යුතුයි O , . O ] , [ අපි ARG0 , ආදර්ශයෙන් ARG1 , මෙහෙයවිය ARG1 , යුතුයි need.01 , . O ]","[ අපි ARG0 , ආදර්ශයෙන් ARG1 , මෙහෙයවිය lead.02 , යුතුයි ARGM-MOD , . O ]"
අපි තවත් ඉදිරියට යා යුතුයි .,"[ අපි ARG0 , තවත් O , ඉදිරියට ARGM-EXT , යා go.02 , යුතුයි O , . O ]","[ අපි ARG0 , තවත් ARG1 , ඉදිරියට ARG1 , යා go.02 , යුතුයි ARGM-MOD , . O ]"
අපි දැන් ඡන්දය සමඟ නොකඩවා පවත්වා ගෙන යමු .,"[ අපි ARG0 , දැන් ARGM-TMP , ඡන්දය ARG1 , සමඟ ARG1 , නොකඩවා O , පවත්වා continue.01 , ගෙන continue.01 , යමු continue.01 , . O ]","[ අපි ARG0 , දැන් ARGM-TMP , ඡන්දය vote.01 , සමඟ ARG1 , නොකඩවා ARG1 , පවත්වා O , ගෙන O , යමු O , . O ], [ අපි ARG0 , දැන් ARGM-TMP , ඡන්දය ARG1 , සමඟ ARG1 , නොකඩවා ARG1 , පවත්වා maintain.01 , ගෙන maintain.01 , යමු O , . O ], [ අපි ARG0 , දැන් ARGM-TMP , ඡන්දය O , සමඟ O , නොකඩවා O , පවත්වා O , ගෙන O , යමු move.01 , . O ]"
වෝර්ට්මන් කූල් මහත්මිය සේවා ගැන කතා කළාය .,"[ වෝර්ට්මන් ARG0 , කූල් ARG0 , මහත්මිය ARG0 , සේවා ARG1 , ගැන ARG1 , කතා talk.01 , කළාය talk.01 , . O ]","[ වෝර්ට්මන් ARG1 , කූල් ARG1 , මහත්මිය ARG0 , සේවා ARG1 , ගැන ARG1 , කතා speak.01 , කළාය speak.01 , . O ]"
අපි එදිනෙදා දේශපාලනඥයන් වන අතර ඔවුන් කෙටි දැක්මක් ඇත .,"[ අපි ARG1 , එදිනෙදා ARG1 , දේශපාලනඥයන් ARG1 , වන O , අතර O , ඔවුන් O , කෙටි ARG2 , දැක්මක් ARG2 , ඇත ARG2 , . O ]","[ අපි ARG0 , එදිනෙදා ARG0 , දේශපාලනඥයන් ARG0 , වන O , අතර O , ඔවුන් O , කෙටි O , දැක්මක් O , ඇත have.01 , . O ]"
ඒ නිසා තමයි මම එයට විරුද්ධව ඡන්දය දෙන්නේ .,"[ ඒ ARG1 , නිසා ARG2 , තමයි be.01 , මම ARG2 , එයට ARG2 , විරුද්ධව ARG2 , ඡන්දය ARG2 , දෙන්නේ O , . O ] , [ ඒ O , නිසා ARGM-CAU , තමයි O , මම ARG0 , එයට ARG1 , විරුද්ධව ARG1 , ඡන්දය vote.01 , දෙන්නේ O , . O ]","[ ඒ ARG1 , නිසා ARG2 , තමයි be.01 , මම ARG2 , එයට ARG2 , විරුද්ධව ARG2 , ඡන්දය O , දෙන්නේ O , . O ], [ ඒ O , නිසා ARGM-CAU , තමයි O , මම ARG0 , එයට ARG1 , විරුද්ධව ARG1 , ඡන්දය vote.01 , දෙන්නේ O , . O ]"
සාකච්ඡා සම්බන්ධීකරණය කිරීමට අපි අදහස් කරමු .,"[ සාකච්ඡා ARG1 , සම්බන්ධීකරණය ARG1 , කිරීමට ARG1 , අපි ARG0 , අදහස් intend.01 , කරමු intend.01 , . O ]",[ ]
මේවා සම්භාව්‍ය සරණාගත අවස්ථා . ,"[ මේවා ARG1 , සම්භාව්‍ය ARG2 , සරණාගත ARG2 , අවස්ථා ARG2 , . O  ]",[ ]
අප නීතිමය අවිනිශ්චිතතාවක් ඇති කිරීමෙන් ද වැළකී සිටිය යුතුය .,"[ අප ARG0 , නීතිමය ARG1 , අවිනිශ්චිතතාවක් ARG1 , ඇති create.01 , කිරීමෙන් create.01 , ද O , වැළකී O , සිටිය O , යුතුය O , . O ] , [ අප ARG0 , නීතිමය ARG1 , අවිනිශ්චිතතාවක් ARG1 , ඇති ARG1 , කිරීමෙන් O , ද ARGM-DIS , වැළකී avoid.01 , සිටිය avoid.01 , යුතුය ARGM-MOD , . O ]","[ අප ARG0 , නීතිමය ARG1 , අවිනිශ්චිතතාවක් ARG1 , ඇති O , කිරීමෙන් O , ද O , වැළකී avoid.01 , සිටිය avoid.01 , යුතුය ARGM-MOD , . O ]"
මිලිටරි විසඳුමක් නැත .,"[ මිලිටරි ARG1 , විසඳුමක් ARG1 , නැත ARG1 , . O ]",[ ]
ව්‍යාජ ඖෂධ වලින් ආරක්ෂා වීමටද මෙය අදාළ වේ .,"[ ව්‍යාජ ARG2 , ඖෂධ ARG2 , වලින් ARG2 , ආරක්ෂා ARG2 , වීමටද ARG2 , මෙය ARG1 , අදාළ apply.02 , වේ O , . O ]","[ ව්\u200dයාජ ARG1 , ඖෂධ ARG1 , වලින් O , ආරක්ෂා O , වීමටද O , මෙය ARG1 , අදාළ apply.02 , වේ O , . O ]"
"පිළිතුර "" සෑහෙන්න ගොඩක් "" ! ","[ පිළිතුර ARG1 , "" O , සෑහෙන්න ARG2 , ගොඩක් ARG2 , "" O , ! O ]",[ ]
එබැවින් එය වහාම විකල්ප විසඳුම් ඇතුළත් කළ යුතුයි .,"[ එබැවින් ARGM-DIS , එය ARG0 , වහාම ARGM-TMP , විකල්ප ARG1 , විසඳුම් ARG1 , ඇතුළත් include.01 , කළ include.01 , යුතුයි ARGM-MOD , . O ]","[ එබැවින් ARGM-DIS , එය ARG1 , වහාම ARGM-TMP , විකල්ප ARG1 , විසඳුම් ARG1 , ඇතුළත් include.01 , කළ include.01 , යුතුයි ARGM-MOD , . O ]"
අපට සම්මුතිය සමඟ ජීවත් විය හැකිය .,"[ අපට ARG0 , සම්මුතිය ARG1 , සමඟ ARG1 , ජීවත් live.01 , විය live.01 , හැකිය ARGM-MOD , . O ]","[ අපට ARG0 , සම්මුතිය ARGM-MNR , සමඟ ARGM-MNR , ජීවත් live.01 , විය live.01 , හැකිය ARGM-MOD , . O ]"
අපට සංවාදයක් අවශ්‍යයි !,"[ අපට ARG0 , සංවාදයක් ARG1 , අවශ්‍යයි need.01 , ! O  ]","[ අපට ARG0 , සංවාදයක් ARG1 , අවශ්\u200dයයි need.01 , ! O , . O ]"
මම හිතන්නේ නෑ .,"[ මම ARG0 , හිතන්නේ think.01 , නෑ ARG1 , . O ]","[ මම ARG0 , හිතන්නේ think.01 , නෑ ARG1 , . O ]"
මම එය අප්‍රිකාවේ දැක ඇත්තෙමි .,"[ මම ARG0 , එය ARG1 , අප්‍රිකාවේ ARGM-LOC , දැක see.01 , ඇත්තෙමි see.01 , . O ]","[ මම ARG0 , එය ARG1 , අප්\u200dරිකාවේ ARG1 , දැක see.01 , ඇත්තෙමි see.01 , . O ]"
මා ප්‍රමාණවත් නොවන බව පවසන්නේ ඇයි ?,"[ මා ARG0 , ප්‍රමාණවත් ARG` , නොවන ARG1 , බව ARG1 , පවසන්නේ say.01 , ඇයි ARGM-CAU , ? O ]","[ මා ARG0 , ප්\u200dරමාණවත් ARG1 , නොවන O , බව O , පවසන්නේ say.01 , ඇයි ARGM-CAU , ? O , . O ]"
සැලසුම මෙහි ප්‍රමුඛතාවය ගත යුතු අතර තහනම් නොවේ .,"[ සැලසුම ARG0 , මෙහි ARGM-LOC , ප්‍රමුඛතාවය ARG1 , ගත take.14 , යුතු ARGM-MOD , අතර O , තහනම් O , නොවේ O , . O ]","[ සැලසුම ARG1 , මෙහි ARG1 , ප්\u200dරමුඛතාවය ARG1 , ගත ARG1 , යුතු O , අතර O , තහනම් ban.01 , නොවේ O , . O ]"
මම මෙම සංවිධානය සඳහා විශේෂ සංක්ෂිප්තයක් තබා නැත .,"[ මම ARG0 , මෙම ARG2 , සංවිධානය ARG2 , සඳහා ARG2 , විශේෂ ARG1 , සංක්ෂිප්තයක් ARG1 , තබා hold.01 , නැත ARG1 , . O ]","[ මම ARG0 , මෙම ARG1 , සංවිධානය ARG1 , සඳහා ARG1 , විශේෂ ARG1 , සංක්ෂිප්තයක් O , තබා hold.01 , නැත O , . O ]"
මේ සඳහා සංගමය තුළ සහයෝගීතාවය අවශ්‍ය වේ .,"[ මේ ARG0 , සඳහා O , සංගමය ARG1 , තුළ ARG1 , සහයෝගීතාවය ARG1 , අවශ්‍ය require.01 , වේ require.01 , . O ]","[ මේ ARG1 , සඳහා ARG1 , සංගමය ARG0 , තුළ ARGM-LOC , සහයෝගීතාවය ARG1 , අවශ්\u200dය require.01 , වේ require.01 , . O ]"
මම එසේ බලාපොරොත්තු වෙනවා .,"[ මම ARG0 , එසේ ARG1 , බලාපොරොත්තු hope.01 , වෙනවා hope.01 , . O ]","[ මම ARG0 , එසේ ARG1 , බලාපොරොත්තු hope.01 , වෙනවා hope.01 , . O ]"
මම චෙක් ජනාධිපති ධුරයට සුබ පතමි .,"[ මම ARG0 , චෙක් ARG2 , ජනාධිපති ARG2 , ධුරයට ARG2 , සුබ ARG1 , පතමි wish.01 , . O ]","[ මම ARG0 , චෙක් ARG2 , ජනාධිපති ARG2 , ධුරයට O , සුබ ARG1 , පතමි wish.01 , . O ]"
Nord Stream විසඳුමක් නො වේ .,"[ Nord ARG1 , Stream ARG1 , විසඳුමක් ARG2 , නො ARG2 , වේ be.01 , . O ]","[ Nord O , Stream ARG2 , විසඳුමක් ARG2 , නො ARGM-NEG , වේ be.01 , . O ]"
ඔබට මෙය තේරෙන්නේ නැද්ද ?,"[ ඔබට ARG0 , මෙය ARG1 , තේරෙන්නේ understand.01 , නැද්ද ARGM-NEG , ? O]","[ ඔබට ARG0 , මෙය ARG1 , තේරෙන්නේ understand.01 , නැද්ද O , ? O , . O ]"
මෙය අප කරන දෙයට කේන්ද්‍රීය වේ .,"[ මෙය O , අප ARG0 , කරන do.02 , දෙයට ARG1 , කේන්ද්‍රීය O , වේ O , . O ] , [ මෙය ARG1 , අප ARG2 , කරන ARG2 , දෙයට ARG2 , කේන්ද්‍රීය ARG2 , වේ be.01 , . O ]","[ මෙය ARG1 , අප ARG1 , කරන ARG1 , දෙයට ARG1 , කේන්ද්\u200dරීය ARG2 , වේ be.01 , . O ]"
මෙය හෙට ඡන්දය දීමට සැලකිය යුතු ලෙස පහසුකම් සපයනු ඇත .,"[ මෙය ARG0 , හෙට ARGM-TMP , ඡන්දය ARG1 , දීමට ARG1 , සැලකිය ARGM-MNR , යුතු ARGM-MNR , ලෙස ARGM-MNR , පහසුකම් facilitate.01 , සපයනු facilitate.01 , ඇත O , . O ]","[ මෙය ARG1 , හෙට ARGM-TMP , ඡන්දය vote.01 , දීමට O , සැලකිය O , යුතු O , ලෙස O , පහසුකම් O , සපයනු O , ඇත O , . O ], [ මෙය ARG1 , හෙට ARGM-TMP , ඡන්දය O , දීමට O , සැලකිය O , යුතු O , ලෙස O , පහසුකම් O , සපයනු provide.01 , ඇත O , . O ], [ මෙය ARG1 , හෙට ARGM-TMP , ඡන්දය O , දීමට O , සැලකිය O , යුතු O , ලෙස O , පහසුකම් O , සපයනු O , ඇත be.03 , . O ]"
අනාගතයේදී කුමක් සිදුවේදැයි බලමු .,"[ අනාගතයේදී ARGM-TMP , කුමක් ARG1 , සිදුවේදැයි happen.01 , බලමු O , . O ]","[ අනාගතයේදී ARG0 , කුමක් ARG1 , සිදුවේදැයි ARG1 , බලමු see.01 , . O ]"
මෙය වෙනස් කළ යුතුය .,"[ මෙය ARG1 , වෙනස් change.01 , කළ change.01 , යුතුය O , . O ] , [ මෙය ARG0 , වෙනස් ARG1 , කළ ARG1 , යුතුය need.01 , . O ]","[ මෙය ARG1 , වෙනස් change.01 , කළ change.01 , යුතුය ARGM-MOD , . O ]"
එය ගොවීන් වෘත්තියෙන් පිටත තබාවි .,"[ එය ARG0 , ගොවීන් ARG1 , වෘත්තියෙන් ARG2 , පිටත ARG2 , තබාවි put.01 , . O ]",[ ]
මම වාර්තාකරුට ස්තූති කිරීමට කැමතියි .,"[ මම ARG0 , වාර්තාකරුට ARG1 , ස්තූති thank.01 , කිරීමට O , කැමතියි O , . O ] , [ මම ARG0 , වාර්තාකරුට ARG1 , ස්තූති ARG1 , කිරීමට ARG1 , කැමතියි like.02 , . O ]","[ මම ARG0 , වාර්තාකරුට ARG1 , ස්තූති thank.01 , කිරීමට O , කැමතියි O , . O ], [ මම ARG0 , වාර්තාකරුට ARG1 , ස්තූති ARG1 , කිරීමට O , කැමතියි like.02 , . O ]"
ඔබ සතුව ඇති සංඛ්‍යා මොනවාද ?,"[ ඔබ ARG0 , සතුව have.03 , ඇති O , සංඛ්‍යා ARG1 , මොනවාද ARG1 , ? O ]","[ ඔබ ARG0 , සතුව have.03 , ඇති ARG1 , සංඛ්\u200dයා ARG1 , මොනවාද ARG1 , ? O , . O ]"
අපට දුෂ්කර ආර්ථික තත්වයක් තිබේ .,"[ අපට ARG0 , දුෂ්කර ARG1 , ආර්ථික ARG1 , තත්වයක් ARG1 , තිබේ have.03 , . O ]","[ අපට ARG0 , දුෂ්කර ARG1 , ආර්ථික ARG1 , තත්වයක් ARG1 , තිබේ have.03 , . O ]"
මේ සම්බන්ධයෙන් මම ඔබ සියලු දෙනා සමඟ එකඟ වෙමි .,"[ මේ ARG1 , සම්බන්ධයෙන් ARG1 , මම ARG0 , ඔබ ARG2 , සියලු ARG2 , දෙනා ARG2 , සමඟ ARG2 , එකඟ agree.01 , වෙමි agree.01 , . O ]","[ මේ ARG1 , සම්බන්ධයෙන් ARG1 , මම ARG0 , ඔබ ARG0 , සියලු ARG1 , දෙනා O , සමඟ ARG2 , එකඟ agree.01 , වෙමි agree.01 , . O ]"
"ජනාධිපති තුමනි , මම ත්‍රස්තවාදය පිළිකුල් කරමි .","[ ජනාධිපති ARGM-DIS , තුමනි ARGM-DIS , , O , මම ARG0 , ත්‍රස්තවාදය ARG1 , පිළිකුල් utter.01 , කරමි O , . O ]","[ ජනාධිපති ARGM-DIS , තුමනි ARGM-DIS , , O , මම ARG0 , ත්\u200dරස්තවාදය ARG1 , පිළිකුල් utter.01 , කරමි O , . O ]"
ඒ නිසයි අපි විරුද්ධව ඡන්දය පාවිච්චි කළේ .,"[ ඒ ARGM-CAU , නිසයි ARGM-CAU , අපි ARG0 , විරුද්ධව ARG1 , ඡන්දය vote.01 , පාවිච්චි O , කළේ O , . O ]","[ ඒ O , නිසයි ARGM-CAU , අපි ARG0 , විරුද්ධව ARG1 , ඡන්දය vote.01 , පාවිච්චි O , කළේ O , . O ]"
අපට ජාතික ප්‍රාග්ධන වෙළඳපොළවල් තිබුණි .,"[ අපට ARG0 , ජාතික ARG1 , ප්‍රාග්ධන ARG1 , වෙළඳපොළවල් ARG1 , තිබුණි have.03 , . O ]","[ අපට ARG0 , ජාතික ARG1 , ප්\u200dරාග්ධන ARG1 , වෙළඳපොළවල් ARG0 , තිබුණි be.02 , . O ]"
මධ්‍යස්ථ පක්ෂයක් ද ඊට සම්බන්ධ විය යුතුය .,"[ මධ්‍යස්ථ ARG1 , පක්ෂයක් ARG1 , ද O , ඊට O , සම්බන්ධ involve.01 , විය O , යුතුය O , . O ]","[ මධ්\u200dයස්ථ ARG1 , පක්ෂයක් O , ද ARGM-DIS , ඊට O , සම්බන්ධ involve.01 , විය O , යුතුය ARGM-MOD , . O ], [ මධ්\u200dයස්ථ ARG1 , පක්ෂයක් O , ද O , ඊට O , සම්බන්ධ O , විය be.03 , යුතුය ARGM-MOD , . O ]"
"පළමුව , එය ඉතා ඉක්මණින් පැමිණ ඇත .","[ පළමුව ARGM-ADV , , O , එය ARG1 , ඉතා ARGM-TMP , ඉක්මණින් O , පැමිණ come.01 , ඇත O , . O ]","[ පළමුව ARGM-TMP , , O , එය O , ඉතා O , ඉක්මණින් O , පැමිණ come.01 , ඇත O , . O ], [ පළමුව ARGM-TMP , , O , එය O , ඉතා O , ඉක්මණින් O , පැමිණ O , ඇත have.01 , . O ]"
එබැවින් අපි ඡන්ද විමසීමට ඉදිරියට යමු .,"[ එබැවින් ARGM-DIS , අපි ARG1 , ඡන්ද ARG2 , විමසීමට ARG2 , ඉදිරියට move.01 , යමු move.01 , . O ]","[ එබැවින් ARGM-DIS , අපි ARG0 , ඡන්ද ARG1 , විමසීමට O , ඉදිරියට O , යමු move.01 , . O ]"
මෙය සලකා බැලිය යුතු බරපතල ගැටළුවකි .,"[ මෙය ARG1 , සලකා ARG1 , බැලිය ARG1 , යුතු guarantee.01 , බරපතල ARG0 , ගැටළුවකි ARG0 , . O ]","[ මෙය ARG1 , සලකා O , බැලිය look.01 , යුතු ARGM-MOD , බරපතල O , ගැටළුවකි O , . O ], [ මෙය ARG1 , සලකා O , බැලිය O , යුතු need.01 , බරපතල O , ගැටළුවකි O , . O ]"
එබැවින් මෙම යෝජනාව අනුමත කිරීමට මම කැමැත්තෙමි .,"[ එබැවින් ARGM-DIS , මෙම ARG1 , යෝජනාව ARG1 , අනුමත ARG1 , කිරීමට ARG1 , මම ARG0 , කැමැත්තෙමි wish.01 , . O ]","[ එබැවින් ARGM-DIS , මෙම ARG1 , යෝජනාව ARG1 , අනුමත endorse.01 , කිරීමට O , මම ARG0 , කැමැත්තෙමි O , . O ], [ එබැවින් ARGM-DIS , මෙම ARG1 , යෝජනාව ARG1 , අනුමත O , කිරීමට O , මම ARG0 , කැමැත්තෙමි wish.01 , . O ]"
එක්සත් ජාතීන්ගේ සංඛ්‍යාලේඛන නාටකාකාර ය .,"[ එක්සත් ARG1 , ජාතීන්ගේ ARG1 , සංඛ්‍යාලේඛන ARG1 , නාටකාකාර ARG2 , ය be.01 , . O ]","[ එක්සත් ARG0 , ජාතීන්ගේ ARG0 , සංඛ්\u200dයාලේඛන ARG0 , නාටකාකාර ARGM-MNR , ය be.01 , . O ]"
පාර්ලිමේන්තුවට අද හොඳ දවසක් තිබේ .,"[ පාර්ලිමේන්තුවට ARG0 , අද ARGM-TMP , හොඳ ARG1 , දවසක් ARG1 , තිබේ have.01 , . O ]","[ පාර්ලිමේන්තුවට ARG0 , අද ARGM-TMP , හොඳ ARG1 , දවසක් ARG1 , තිබේ be.02 , . O ]"
අපි ඔවුන්ට සහාය දෙමු .,"[ අපි ARG0 , ඔවුන්ට ARG1 , සහාය support.01 , දෙමු support.01 , . O ]","[ අපි ARG0 , ඔවුන්ට ARG0 , සහාය support.01 , දෙමු support.01 , . O ]"
ඔවුන් නිසැකවම කොමිසමේ මුලපිරීම වැඩිදියුණු කර ඇත .,"[ ඔවුන් ARG0 , නිසැකවම ARGM-ADV , කොමිසමේ ARG1 , මුලපිරීම ARG1 , වැඩිදියුණු improve.01 , කර O , ඇත O , . O ]","[ ඔවුන් ARG0 , නිසැකවම ARGM-ADV , කොමිසමේ ARG1 , මුලපිරීම O , වැඩිදියුණු O , කර O , ඇත have.01 , . O ]"
එබැවින් අපට මෙහි කොමසාරිස් ඇෂ්ටන් අවශ්‍ය වනු ඇත .,"[ එබැවින් ARGM-DIS , අපට ARG0 , මෙහි ARGM-LOC , කොමසාරිස් ARG1 , ඇෂ්ටන් ARG1 , අවශ්‍ය need.01 , වනු need.01 , ඇත ARGM-MOD , . O ]","[ එබැවින් ARGM-DIS , අපට ARG0 , මෙහි ARGM-LOC , කොමසාරිස් ARG1 , ඇෂ්ටන් ARG1 , අවශ්\u200dය need.01 , වනු O , ඇත O , . O ], [ එබැවින් ARGM-DIS , අපට ARG0 , මෙහි ARGM-LOC , කොමසාරිස් O , ඇෂ්ටන් O , අවශ්\u200dය O , වනු O , ඇත have.01 , . O ]"
විවාදය අවසන්ය .,"[ විවාදය ARG1 , අවසන්ය ARG2 , . O]",[ ]
අප්‍රිකාව දුප්පත්ම මහාද්වීපය ලෙස පවතී .,"[ අප්‍රිකාව ARG1 , දුප්පත්ම ARG3 , මහාද්වීපය ARG3 , ලෙස O , පවතී remain.01 , . O ]","[ අප්\u200dරිකාව ARG1 , දුප්පත්ම ARG1 , මහාද්වීපය ARG1 , ලෙස O , පවතී remain.01 , . O ]"
අද කවුන්සිලය මෙහි නොමැත .,"[ අද ARGM-TMP , කවුන්සිලය ARG1 , මෙහි ARG2 , නොමැත ARGM-NEG , . O ]",[ ]
එය අපගේ ඉලක්කය විය යුතුය .,"[ එය ARG1 , අපගේ ARG2 , ඉලක්කය ARG2 , විය be.01 , යුතුය ARGM-MOD , . O ]","[ එය ARG1 , අපගේ ARG2 , ඉලක්කය ARG2 , විය be.01 , යුතුය ARGM-MOD , . O ]"
මෙය මුළුමනින්ම පිළිගත නොහැකි අතර එය නැවැත්විය යුතුය .,"[ මෙය ARG1 , මුළුමනින්ම O , පිළිගත O , නොහැකි O , අතර O , එය O , නැවැත්විය stop.01 , යුතුය ARGM-MOD , . O ] , [ මෙය ARG1 , මුළුමනින්ම ARG2 , පිළිගත ARG2 , නොහැකි ARG1 , අතර O , එය O , නැවැත්විය O , යුතුය O , . O ]","[ මෙය ARG1 , මුළුමනින්ම O , පිළිගත accept.01 , නොහැකි ARGM-NEG , අතර O , එය ARG1 , නැවැත්විය C-ARG1 , යුතුය ARGM-MOD , . O ], [ මෙය ARG1 , මුළුමනින්ම O , පිළිගත O , නොහැකි O , අතර O , එය ARG1 , නැවැත්විය stop.01 , යුතුය ARGM-MOD , . O ]"
එය අපගේ සියලු ජාතික අවශ්‍යතා සඳහා ය .,"[ එය ARG1 , අපගේ ARG2 , සියලු ARG2 , ජාතික ARG2 , අවශ්‍යතා ARG2 , සඳහා ARG2 , ය be.01 , . O ]","[ එය ARG1 , අපගේ ARG1 , සියලු ARG1 , ජාතික ARG2 , අවශ්\u200dයතා ARG2 , සඳහා ARG2 , ය be.01 , . O ]"
